Duane Adams,Hojzi Path,Zurmubku,NY,08/08/43
Ruby Hampton,Seime Plaza,Ikduju,KS,16/09/86
Carl Johnson,Zopwe Drive,Ehazeru,RI,27/11/64
Lucy Cooper,Hotho Heights,Wiwolufu,VA,24/08/29
Hester Crawford,Unok Junction,Zosesi,TN,18/05/94
Mike Harrison,Jojat Turnpike,Puwhuwwem,CO,27/03/21
Manuel Austin,Ahcew Court,Rilufgob,WV,11/01/14
Gussie Patton,Bapber Lane,Dagpupijo,IN,05/04/02
Wesley Bass,Culpo Square,Ukfipaf,VT,01/01/77
Herman Hernandez,Duput Parkway,Giszasza,MO,29/04/18
Lucas Hart,Jezgon Grove,Canakhug,NV,24/09/06
Delia Walsh,Fosja Drive,Baftari,NY,29/12/08
Marie Reese,Dugge Key,Wusulgo,HI,05/04/63
Brian Stevenson,Bemeg Turnpike,Muebibe,OR,24/08/37
Lottie Larson,Razuk Extension,Pesulobi,IL,18/08/73
Sara Guzman,Deum Mill,Mompacbag,NJ,04/04/64
Austin Diaz,Sola Highway,Vawhadkaw,NY,01/02/37
Marie Hill,Wotli Grove,Kabgunjo,AK,15/12/25
Isabel Lawrence,Ulares Mill,Vondujper,NM,17/02/05
Herbert Hale,Akaec Extension,Wacwuuha,IL,22/04/65
Nell Valdez,Olrad Court,Keunwip,NV,16/04/74
Sue Hunt,Hirow Pike,Boruuna,PA,03/06/68
Ruth Turner,Bipelo Heights,Azitiil,AK,07/05/43
Cordelia Wise,Huwgi Path,Seviga,ID,30/08/22
Corey Wise,Zohza Square,Nokkucwe,AL,24/03/90
Minnie Larson,Wepo Park,Rezecti,UT,18/10/20
Kate McDonald,Izni Road,Bicwelped,IL,31/01/45
Lois Campbell,Futo Heights,Epihokeb,PA,11/09/59
Nora Beck,Teha Glen,Rudoto,TN,16/12/07
Winifred Perez,Zusno Street,Inietazaj,CO,15/12/37
Cora Valdez,Raut Pass,Balehhem,UT,14/03/24
Nancy Goodman,Wasit Parkway,Azuwonso,NY,04/05/23
Vera Potter,Goutu Path,Ovoziwug,AR,19/05/39
Mollie Barker,Sozepe Junction,Ajcukpoc,DE,24/08/96
Ora Tate,Dowev Pike,Cekgesa,MA,24/11/19
Connor Bridges,Ucge Key,Keduzet,KY,22/03/50
Louise Kim,Amutu Park,Puwkulad,WV,14/05/62
Max French,Fedsik Manor,Bojujaaru,SC,30/10/20
Clara Gomez,Obiha Junction,Enewiiz,AZ,21/05/32
Caroline Cruz,Jimo Highway,Wonkuruf,MO,19/09/63
Luke George,Iwunup Glen,Rivoud,LA,10/01/65
